,model_name,num_of_layers,fastai_time,pytorch_time,caffe2_time
0,resnet18,18,1.1498828029632568,0.021925814151763916,0.009417282819747925
1,resnet34,34,1.966071491241455,0.04064839601516724,0.016195571899414063
2,resnet50,50,2.609000129699707,0.06539771819114686,0.018777864694595338
3,resnet101,101,3.908740873336792,0.11850477123260499,0.029663594245910644
4,resnet152,152,5.3908518171310424,0.1652870535850525,0.04254953527450561
